posting_id,ledger_transaction_id,account_id,currency,direction,amount_minor,business_date,status,posting_type
LP-DATA-001,LT-DATA-001,ACC-DATA-001,KRW,CREDIT,1000000,2026-02-28,POSTED,PRINCIPAL
LP-DATA-002,LT-DATA-001,SYS-CASH,KRW,DEBIT,1000000,2026-02-28,POSTED,PRINCIPAL
LP-DATA-003,LT-DATA-002,ACC-DATA-002,KRW,CREDIT,750000,2026-02-28,POSTED,PRINCIPAL
LP-DATA-004,LT-DATA-002,SYS-CASH,KRW,DEBIT,750000,2026-02-28,POSTED,PRINCIPAL
LP-DATA-005,LT-DATA-003,ACC-DATA-001,KRW,DEBIT,120000,2026-02-28,POSTED,PRINCIPAL
LP-DATA-006,LT-DATA-003,SYS-CASH,KRW,CREDIT,120000,2026-02-28,POSTED,PRINCIPAL
LP-DATA-007,LT-DATA-004,ACC-DATA-003,KRW,CREDIT,5000000,2026-02-28,POSTED,PRINCIPAL
LP-DATA-008,LT-DATA-004,SYS-CASH,KRW,DEBIT,5000000,2026-02-28,POSTED,PRINCIPAL
LP-DATA-009,LT-DATA-005,ACC-DATA-003,KRW,DEBIT,1500000,2026-02-28,POSTED,PRINCIPAL
LP-DATA-010,LT-DATA-005,ACC-DATA-001,KRW,CREDIT,1500000,2026-02-28,POSTED,PRINCIPAL
